SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49329,FUTSTK,0,CANBK-Jan2026-FUT,6750,CANBK JAN FUT,27-01-2026 14:30,-0.01,XX,1,M,FUT,,
NSE,D,49330,FUTSTK,0,CDSL-Jan2026-FUT,475,CDSL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49331,FUTSTK,0,CGPOWER-Jan2026-FUT,850,CGPOWER JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49332,FUTSTK,0,CHOLAFIN-Jan2026-FUT,625,CHOLAFIN JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49335,FUTSTK,0,CIPLA-Jan2026-FUT,375,CIPLA JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49336,FUTSTK,0,COALINDIA-Jan2026-FUT,1350,COALINDIA JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49342,FUTSTK,0,COFORGE-Jan2026-FUT,375,COFORGE JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49343,FUTSTK,0,COLPAL-Jan2026-FUT,225,COLPAL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49349,FUTSTK,0,CONCOR-Jan2026-FUT,1250,CONCOR JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49350,FUTSTK,0,CROMPTON-Jan2026-FUT,1800,CROMPTON JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49351,FUTSTK,0,CUMMINSIND-Jan2026-FUT,200,CUMMINSIND JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
