SEM_EXM_EXCH_ID,SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME
NSE,PNBHOUSING,18908,PNBHOUSING
NSE,POLICYBZR,6656,POLICYBZR
NSE,POLYCAB,9590,POLYCAB
NSE,POWERGRID,14977,POWERGRID
NSE,POWERINDIA,18457,POWERINDIA
NSE,PPLPHARMA,11571,PPLPHARMA
NSE,PRESTIGE,20302,PRESTIGE
NSE,RBLBANK,18391,RBLBANK
NSE,RECLTD,15355,RECLTD
NSE,RELIANCE,2885,RELIANCE
NSE,RVNL,9552,RVNL
NSE,SAIL,2963,SAIL
NSE,SAMMAANCAP,30125,SAMMAANCAP
NSE,SBICARD,17971,SBICARD
NSE,SBILIFE,21808,SBILIFE
NSE,SBIN,3045,SBIN
NSE,SHREECEM,3103,SHREECEM
NSE,SHRIRAMFIN,4306,SHRIRAMFIN
NSE,SIEMENS,3150,SIEMENS
NSE,SOLARINDS,13332,SOLARINDS
NSE,SONACOMS,4684,SONACOMS
NSE,SRF,3273,SRF
NSE,SUNPHARMA,3351,SUNPHARMA
NSE,SUPREMEIND,3363,SUPREMEIND
NSE,SUZLON,12018,SUZLON
NSE,SYNGENE,10243,SYNGENE
NSE,TATACONSUM,3432,TATACONSUM
NSE,TATAELXSI,3411,TATAELXSI
NSE,TATAPOWER,3426,TATAPOWER
NSE,TATASTEEL,3499,TATASTEEL
NSE,TATATECH,20293,TATATECH
NSE,TCS,11536,TCS
NSE,TECHM,13538,TECHM
NSE,TIINDIA,312,TIINDIA
NSE,TITAN,3506,TITAN
NSE,TMPV,3456,TMPV
NSE,TORNTPHARM,3518,TORNTPHARM
NSE,TORNTPOWER,13786,TORNTPOWER
NSE,TRENT,1964,TRENT
NSE,TVSMOTOR,8479,TVSMOTOR
NSE,ULTRACEMCO,11532,ULTRACEMCO
NSE,UNIONBANK,10753,UNIONBANK
NSE,UNITDSPR,10447,UNITDSPR
NSE,UNOMINDA,14154,UNOMINDA
NSE,UPL,11287,UPL
NSE,VBL,18921,VBL
NSE,VEDL,3063,VEDL
NSE,VOLTAS,3718,VOLTAS
NSE,WIPRO,3787,WIPRO
NSE,YESBANK,11915,YESBANK
NSE,ZYDUSLIFE,7929,ZYDUSLIFE
NSE,BAJAJHLDNG,305,BAJAJHLDNG
NSE,PREMIERENE,25049,PREMIERENE
NSE,SWIGGY,27066,SWIGGY
NSE,WAAREEENER,25907,WAAREEENER
